                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43472,                  1.989,                0.88479,                0.69218,                0.91525,                0.72469,                0.67676,                0.38901,                 1.8795,                0.79897,             0.00028886,             0.00028886,             0.00028886
                      2,                0.26197,                   0.65,                0.81638,                0.94041,                0.94762,                0.98856,                 0.9646,                0.23066,                0.49064,                 0.7673,             0.00056551,             0.00056551,             0.00056551
                      3,                0.26376,                0.44117,                0.80941,                0.86223,                0.85656,                0.87718,                0.86947,                0.19529,                0.98497,                 0.7606,             0.00081841,             0.00081841,             0.00081841
                      4,                0.25442,                0.38088,                0.80374,                0.89024,                0.88502,                0.95965,                0.95005,                 0.2279,                0.78943,                0.76456,             0.00097901,             0.00097901,             0.00097901
                      5,                0.25141,                0.32965,                0.80409,                 0.9486,                0.96744,                0.99128,                0.98644,                0.22189,                0.35865,                0.76179,             0.00097901,             0.00097901,             0.00097901
                      6,                0.23031,                0.31335,                0.79933,                0.97085,                0.97264,                0.99473,                0.99282,                0.18275,                0.28422,                0.75325,             0.00093502,             0.00093502,             0.00093502
                      7,                0.22044,                0.28287,                0.79999,                0.99957,                      1,                  0.995,                0.99329,                0.15219,                0.15432,                0.75068,             0.00089102,             0.00089102,             0.00089102
                      8,                0.19923,                0.26497,                0.79946,                0.98682,                0.98775,                0.99409,                0.99308,                0.15084,                0.19467,                0.75091,             0.00084703,             0.00084703,             0.00084703
                      9,                0.19817,                0.26977,                0.79636,                0.98502,                0.98793,                0.99461,                0.99318,                0.13768,                0.17389,                0.74943,             0.00080303,             0.00080303,             0.00080303
                     10,                0.19318,                0.25093,                 0.7934,                0.97123,                0.97603,                0.99385,                0.99337,                0.14081,                0.21191,                0.75073,             0.00075904,             0.00075904,             0.00075904
                     11,                0.19813,                 0.2292,                0.79478,                0.99934,                0.99995,                  0.995,                0.99456,                0.13218,                 0.1309,                0.74854,             0.00071504,             0.00071504,             0.00071504
                     12,                0.18267,                0.20436,                0.79356,                0.99985,                      1,                  0.995,                 0.9948,                0.12272,                0.11178,                0.74836,             0.00067104,             0.00067104,             0.00067104
                     13,                 0.1741,                0.19379,                0.79376,                0.99986,                      1,                  0.995,                0.99478,                0.12622,                0.11247,                0.74822,             0.00062705,             0.00062705,             0.00062705
                     14,                 0.1651,                0.18837,                0.79027,                0.99977,                      1,                  0.995,                0.99493,                0.09893,                0.09954,                0.74626,             0.00058305,             0.00058305,             0.00058305
                     15,                 0.1614,                0.18388,                0.79246,                0.99981,                0.99999,                  0.995,                  0.995,                0.10988,                0.10188,                0.74764,             0.00053906,             0.00053906,             0.00053906
                     16,                0.13877,                 0.1484,                0.78662,                0.99967,                0.99995,                  0.995,                0.99498,                0.10935,                0.11109,                 0.7449,             0.00049506,             0.00049506,             0.00049506
                     17,                0.13875,                0.17037,                0.78507,                0.98788,                0.98522,                  0.995,                0.99491,                0.12031,                0.18929,                0.74746,             0.00045107,             0.00045107,             0.00045107
                     18,                0.13525,                0.14675,                0.78507,                 0.9981,                0.99997,                  0.995,                0.99499,                0.11048,                0.10226,                0.74582,             0.00040707,             0.00040707,             0.00040707
                     19,                0.12595,                0.13511,                0.78673,                0.99983,                      1,                  0.995,                0.99498,                0.11082,                0.09971,                  0.746,             0.00036307,             0.00036307,             0.00036307
                     20,                0.12341,                0.12115,                0.78551,                0.99983,                      1,                  0.995,                0.99499,                0.09714,                0.09139,                  0.745,             0.00031908,             0.00031908,             0.00031908
                     21,                0.11838,                0.12261,                0.78312,                0.99971,                      1,                  0.995,                  0.995,                0.08863,                0.07916,                0.74446,             0.00027508,             0.00027508,             0.00027508
                     22,                0.11501,                0.11734,                0.78486,                0.99942,                      1,                  0.995,                0.99498,                0.08805,                0.07996,                0.74448,             0.00023109,             0.00023109,             0.00023109
                     23,                0.10795,                0.10264,                0.78207,                0.99977,                      1,                  0.995,                  0.995,                0.08042,                0.07153,                0.74412,             0.00018709,             0.00018709,             0.00018709
                     24,                0.10384,                0.09792,                0.78276,                0.99989,                      1,                  0.995,                0.99499,                0.07838,                0.07165,                0.74368,              0.0001431,              0.0001431,              0.0001431
                     25,                0.10101,                0.09516,                0.78249,                0.99974,                      1,                  0.995,                  0.995,                0.07543,                0.07062,                0.74379,             9.9101e-05,             9.9101e-05,             9.9101e-05
