                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38098,                 1.5428,                0.86464,                0.92093,                 0.9393,                0.98409,                0.94363,                0.29032,                0.56087,                 0.7812,             0.00036348,             0.00036348,             0.00036348
                      2,                  0.268,                  0.511,                  0.811,                0.92444,                0.95944,                0.99376,                0.98952,                 0.1938,                0.38063,                 0.7595,             0.00070959,             0.00070959,             0.00070959
                      3,                0.25653,                0.38487,                0.80563,                0.88374,                0.82495,                0.86351,                0.85905,                0.18026,                0.97998,                0.76358,              0.0010313,              0.0010313,              0.0010313
                      4,                0.25514,                0.37007,                0.80602,                0.87551,                 0.9131,                0.98551,                 0.9795,                0.19219,                0.69955,                0.76246,               0.001001,               0.001001,               0.001001
                      5,                0.23212,                0.33225,                0.80191,                0.96006,                0.98766,                0.99499,                0.99384,                0.15511,                0.24572,                0.75627,               0.001001,               0.001001,               0.001001
                      6,                0.22762,                0.29868,                0.80194,                0.99766,                0.99813,                0.99499,                0.99227,                0.17685,                0.19653,                0.75564,             0.00096435,             0.00096435,             0.00096435
                      7,                0.21126,                0.26784,                0.79857,                0.90423,                0.97635,                0.99488,                0.99379,                 0.1471,                0.26171,                0.75135,             0.00092769,             0.00092769,             0.00092769
                      8,                0.20821,                0.25998,                0.79803,                0.99979,                      1,                  0.995,                0.99476,                0.13517,                0.15384,                0.75211,             0.00089102,             0.00089102,             0.00089102
                      9,                0.19505,                0.25171,                0.79734,                 0.9955,                0.99817,                  0.995,                0.99489,                 0.1397,                0.13681,                0.75009,             0.00085436,             0.00085436,             0.00085436
                     10,                0.18907,                0.23071,                0.79479,                0.99984,                      1,                  0.995,                0.99496,                0.13269,                0.12976,                0.75055,              0.0008177,              0.0008177,              0.0008177
